證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3090","日電貿","2040367","113654239","55.90","56.40","55.30","55.60","0.5000","1379"
"3092","鴻碩","2758345","203140333","74.00","74.50","73.00","73.10","-0.9000","1668"
"3094","聯傑","2069201","72737971","35.35","35.65","34.75","35.15","-0.1000","1167"
"3130","一零四","2681","447451","166.00","167.00","166.00","167.00","1.0000","22"
"3138","耀登","1475679","353533859","243.00","246.00","235.00","236.50","-0.5000","1613"
"3149","正達","14794929","621237379","41.85","43.00","40.35","42.60","2.3000","8766"
"3164","景岳","182205","4698966","26.00","26.30","25.55","25.65","-0.4000","106"
"3167","大量","90485","5650073","63.20","63.20","62.20","62.50","-0.3000","79"
"3189","景碩","22567763","2846896254","123.50","129.00","121.50","124.50","2.5000","13668"
"3209","全科","836815","24202886","29.10","29.10","28.80","28.85","-0.2000","521"
"3229","晟鈦","59027","361804","6.11","6.20","6.05","6.09","-0.1100","29"
"3231","緯創","14636067","449690509","30.60","30.95","30.60","30.65","0.0500","3762"
"3257","虹冠電","541076","42458882","78.20","79.40","77.90","78.20","-0.4000","394"
"3266","昇陽","30000","373150","12.55","12.55","12.35","12.35","-0.2000","22"
"3296","勝德","336026","7267023","21.85","21.90","21.35","21.85","-0.3500","230"
"3305","昇貿","4732129","236682989","50.50","51.10","48.90","49.00","-0.9500","2966"
"3308","聯德","363634","3676345","10.50","10.50","9.99","10.20","-0.3000","205"
"3311","閎暉","122174","4167154","33.80","34.50","33.80","34.00","0.2000","89"
"3312","弘憶股","1169680","24525646","21.45","21.45","20.60","20.95","-0.0500","613"
"3321","同泰","1961383","28718727","15.00","15.10","14.20","14.20","-0.4500","805"
"3338","泰碩","3414558","182449169","49.90","54.70","49.80","54.70","4.9500","2397"
"3346","麗清","971426","42923863","44.50","44.80","43.75","44.20","0.3500","681"
"3356","奇偶","4025810","134297254","32.90","34.30","32.25","32.95","0.8000","2296"
"3376","新日興","765521","87093120","115.50","115.50","113.00","114.00","-1.0000","594"
"3380","明泰","2185828","63377670","28.95","29.20","28.60","29.20","0.2500","915"
"3383","新世紀","30205","137667","4.68","4.68","4.54","4.60","0.0000","19"
"3406","玉晶光","2192244","1152754260","525.00","534.00","520.00","520.00","-7.0000","2068"
"3413","京鼎","1159073","273700021","235.50","238.00","234.00","236.50","2.0000","1029"
"3416","融程電","72229","5480638","76.10","76.20","75.60","76.00","0.1000","63"
"3419","譁裕","616459","11972225","19.40","19.55","19.15","19.25","-0.1500","312"
"3432","台端","111000","1457800","13.20","13.20","13.05","13.10","-0.1000","36"
"3437","榮創","2196915","63968211","29.30","29.80","28.70","28.80","-0.4000","1251"
"3443","創意","5470117","2296778830","420.00","433.50","408.00","410.00","-5.0000","5272"
"3450","聯鈞","433529","25504071","58.70","59.20","58.60","59.00","0.4000","335"
"3454","晶睿","369155","30436785","80.40","84.50","79.90","82.90","3.6000","313"
"3481","群創","626903100","13253419362","21.10","21.75","20.60","20.60","-0.4000","136527"
"3494","誠研","125003","406369","3.21","3.28","3.21","3.23","-0.0500","39"
"3501","維熹","48133","2464645","51.00","51.40","51.00","51.30","0.0000","50"
"3504","揚明光","425611","33053884","77.30","78.80","77.10","77.20","-0.1000","329"
"3515","華擎","5234419","1035338203","196.50","205.00","190.50","201.50","8.0000","4149"
"3518","柏騰","63878","1725006","27.50","27.50","26.70","26.70","-0.3000","61"
"3528","安馳","59750","2971569","49.80","50.20","49.40","49.60","-0.0500","67"
"3530","晶相光","4179224","766704017","183.00","187.50","178.00","184.00","2.5000","3036"
"3532","台勝科","3825260","710543162","185.00","193.00","179.00","179.00","-4.0000","3265"
"3533","嘉澤","979753","563312945","560.00","584.00","559.00","576.00","20.0000","1109"
"3535","晶彩科","232764","3850997","16.50","16.65","16.50","16.60","0.2500","143"
